Index,MTH.Open,MTH.High,MTH.Low,MTH.Close,MTH.Volume,MTH.Adjusted
2015-10-13,19.9200000762939,20.5799999237061,19.7299995422363,19.7800006866455,869200,19.6592197418213
2015-10-14,19.7350006103516,19.8250007629395,18.9850006103516,19.1800003051758,1121200,19.0628833770752
2015-10-15,19.2700004577637,19.6749992370605,19.0300006866455,19.6450004577637,664000,19.5250434875488
2015-10-16,19.6949996948242,19.9349994659424,19.3700008392334,19.7749996185303,689600,19.6542491912842
2015-10-19,19.7199993133545,20.2450008392334,19.6499996185303,20.1149997711182,743400,19.9921741485596
2015-10-20,20.1149997711182,20.6000003814697,20.1149997711182,20.3600006103516,491400,20.2356777191162
2015-10-21,20.4200000762939,20.6650009155273,20,20.3600006103516,638600,20.2356777191162
2015-10-22,20.2999992370605,20.2999992370605,19.6000003814697,19.9699993133545,761600,19.8480587005615
2015-10-23,20.0750007629395,20.3299999237061,19.6450004577637,20.1949996948242,741600,20.0716857910156
2015-10-26,20.1550006866455,20.3250007629395,19.6949996948242,20.2350006103516,914600,20.111442565918
2015-10-27,20.1149997711182,20.1149997711182,19.0599994659424,19.3549995422363,1345600,19.2368144989014
2015-10-28,19.3950004577637,19.8400001525879,18.8850002288818,19.6299991607666,1592800,19.5101337432861
2015-10-29,18.3850002288818,18.8700008392334,17.6800003051758,17.7250003814697,2530000,17.6167678833008
2015-10-30,17.4449996948242,18.1350002288818,17.0650005340576,17.6299991607666,2571200,17.522346496582
2015-11-02,17.5900001525879,17.8899993896484,17.5100002288818,17.5799999237061,1443800,17.4726524353027
2015-11-03,17.5100002288818,18.0499992370605,17.1800003051758,17.9449996948242,1527400,17.8354244232178
2015-11-04,18.0049991607666,18.2150001525879,17.7199993133545,17.9050006866455,820000,17.7956695556641
2015-11-05,17.9599990844727,17.9599990844727,17.5,17.7049999237061,890200,17.5968894958496
2015-11-06,17.5849990844727,17.75,17.25,17.5550003051758,888200,17.4478054046631
2015-11-09,17.6100006103516,17.7350006103516,16.8700008392334,17.1499996185303,686000,17.0452785491943
2015-11-10,17.1599998474121,17.7250003814697,17.0699996948242,17.6550006866455,897400,17.5471954345703
2015-11-11,17.6749992370605,18.3250007629395,17.6049995422363,18.1900005340576,973400,18.0789279937744
2015-11-12,17.9799995422363,17.9899997711182,17.4549999237061,17.4850006103516,848600,17.3782329559326
2015-11-13,17.4549999237061,17.625,17.0750007629395,17.0949993133545,1093800,16.9906139373779
2015-11-16,17.0499992370605,17.4899997711182,16.8999996185303,17.4599990844727,1146600,17.3533840179443
2015-11-17,17.0499992370605,17.8999996185303,17.0499992370605,17.4650001525879,768400,17.3583545684814
2015-11-18,17.3999996185303,17.7000007629395,17.3349990844727,17.6650009155273,845400,17.5571346282959
2015-11-19,17.6849994659424,17.7999992370605,17.5599994659424,17.7000007629395,922200,17.5919208526611
2015-11-20,17.8449993133545,18.0249996185303,17.7000007629395,17.9950008392334,570600,17.8851203918457
2015-11-23,17.9300003051758,18.3449993133545,17.8950004577637,18.0949993133545,527600,17.9845085144043
2015-11-24,18.0149993896484,18.4300003051758,17.9099998474121,18.3850002288818,433800,18.2727375030518
2015-11-25,18.4500007629395,18.8400001525879,18.3500003814697,18.8099994659424,501000,18.6951427459717
2015-11-27,18.7950000762939,18.8799991607666,18.6399993896484,18.6949996948242,190600,18.5808448791504
2015-11-30,18.7800006866455,18.7950000762939,18.5249996185303,18.6550006866455,738800,18.5410900115967
2015-12-01,18.6949996948242,19.0799999237061,18.5900001525879,18.9850006103516,577400,18.8690738677979
2015-12-02,18.9850006103516,18.9850006103516,18.2900009155273,18.3950004577637,794000,18.2826766967773
2015-12-03,18.4300003051758,18.75,18.0300006866455,18.1749992370605,712000,18.0640182495117
2015-12-04,18.2649993896484,18.6800003051758,18.1000003814697,18.5750007629395,467000,18.4615783691406
2015-12-07,18.4699993133545,18.6299991607666,18.2700004577637,18.4950008392334,538800,18.3820667266846
2015-12-08,18.1599998474121,18.4449996948242,17.8549995422363,17.9150009155273,492000,17.8056087493896
2015-12-09,17.7800006866455,17.9500007629395,16.8999996185303,17.0400009155273,1378800,16.9359512329102
2015-12-10,17.1399993896484,17.375,17.0249996185303,17.2049999237061,591600,17.0999431610107
2015-12-11,16.9300003051758,17.0200004577637,16.7049999237061,16.7999992370605,571200,16.6974143981934
2015-12-14,16.7950000762939,16.7950000762939,16.2549991607666,16.5049991607666,1177800,16.4042167663574
2015-12-15,16.6499996185303,17.375,16.6499996185303,17.2450008392334,869600,17.1396999359131
2015-12-16,17.3950004577637,17.8449993133545,17.3349990844727,17.7649993896484,674400,17.6565227508545
2015-12-17,17.8199996948242,17.8850002288818,17.2000007629395,17.2600002288818,463200,17.1546077728271
2015-12-18,17.25,17.2800006866455,16.5849990844727,16.6200008392334,1581800,16.5185165405273
2015-12-21,16.7900009155273,17.0300006866455,16.5200004577637,16.7099990844727,677000,16.6079654693604
2015-12-22,16.7399997711182,17.1900005340576,16.4200000762939,17.0249996185303,548800,16.9210414886475
2015-12-23,17.2000007629395,17.3649997711182,17.0599994659424,17.2700004577637,402400,17.1645469665527
2015-12-24,17.2150001525879,17.5450000762939,17.2150001525879,17.3700008392334,161800,17.26393699646
2015-12-28,17.3199996948242,17.4549999237061,17.0349998474121,17.3099994659424,273400,17.2043018341064
2015-12-29,17.4699993133545,17.5949993133545,17.2849998474121,17.4300003051758,366600,17.3235683441162
2015-12-30,17.4099998474121,17.4850006103516,17.1550006866455,17.1900005340576,317800,17.0850353240967
2015-12-31,17.0900001525879,17.2549991607666,16.9099998474121,16.9950008392334,343600,16.8912258148193
2016-01-04,16.7800006866455,16.9249992370605,16.3050003051758,16.4400005340576,880600,16.3396148681641
2016-01-05,16.8199996948242,16.8899993896484,16.4200000762939,16.5100002288818,573600,16.4091873168945
2016-01-06,16.2649993896484,16.5200004577637,15.8950004577637,16.1100006103516,918600,16.0116291046143
2016-01-07,16.0100002288818,16.0100002288818,15.0699996948242,15.125,1014600,15.0326433181763
2016-01-08,15.1599998474121,15.1599998474121,14.2250003814697,14.2849998474121,1170600,14.1977729797363
2016-01-11,14.3999996185303,14.4949998855591,14.1450004577637,14.3100004196167,1391400,14.2226209640503
2016-01-12,14.4350004196167,14.6000003814697,13.9300003051758,14.5349998474121,1105600,14.4462461471558
2016-01-13,14.5349998474121,15.3850002288818,14.2550001144409,14.6049995422363,1639200,14.5158185958862
2016-01-14,14.6350002288818,14.8149995803833,14.3549995422363,14.5200004577637,1200400,14.4313383102417
2016-01-15,14.2550001144409,14.6350002288818,14.0100002288818,14.4250001907349,798800,14.3369178771973
2016-01-19,14.5100002288818,14.6400003433228,13.5050001144409,13.6949996948242,1521600,13.6113748550415
2016-01-20,13.2700004577637,13.7849998474121,12.7399997711182,13.5950002670288,1353600,13.5119867324829
